'MULTI CCS LVL 1 LABEL','MULTI CCS LVL 2 LABEL','CCS CATEGORY DESCRIPTION'
Infectious and parasitic diseases,Bacterial infection,Tuberculosis
Infectious and parasitic diseases,Bacterial infection,Septicemia (except in labor)
Infectious and parasitic diseases,Bacterial infection,Bacterial infection; unspecified site
Infectious and parasitic diseases,Mycoses [4.],Mycoses
Infectious and parasitic diseases,Viral infection,HIV infection
Infectious and parasitic diseases,Viral infection,Hepatitis
Infectious and parasitic diseases,Viral infection,Viral infection
Infectious and parasitic diseases,Other infections; including parasitic [8.],Other infections; including parasitic
Infectious and parasitic diseases,Bacterial infection,Sexually transmitted infections (not HIV or hepatitis)
Infectious and parasitic diseases,Immunizations and screening for infectious disease [10.],Immunizations and screening for infectious disease
Neoplasms,Cancer; other primary,Cancer of head and neck
Neoplasms,Other gastrointestinal cancer,Cancer of esophagus
Neoplasms,Other gastrointestinal cancer,Cancer of stomach
Neoplasms,Colorectal cancer,Cancer of colon
Neoplasms,Colorectal cancer,Cancer of rectum and anus
Neoplasms,Other gastrointestinal cancer,Cancer of liver and intrahepatic bile duct
Neoplasms,Other gastrointestinal cancer,Cancer of pancreas
Neoplasms,Other gastrointestinal cancer,Cancer of other GI organs; peritoneum
Neoplasms,Cancer of bronchus; lung [19.],Cancer of bronchus; lung
Neoplasms,Cancer; other primary,Cancer; other respiratory and intrathoracic
Neoplasms,Cancer; other primary,Cancer of bone and connective tissue
Neoplasms,Cancer of skin,Melanomas of skin
Neoplasms,Cancer of skin,Other non-epithelial cancer of skin
Neoplasms,Cancer of breast [24.],Cancer of breast
Neoplasms,Cancer of uterus and cervix,Cancer of uterus
Neoplasms,Cancer of uterus and cervix,Cancer of cervix
Neoplasms,Cancer of ovary and other female genital organs,Cancer of ovary
Neoplasms,Cancer of ovary and other female genital organs,Cancer of other female genital organs
Neoplasms,Cancer of male genital organs,Cancer of prostate
Neoplasms,Cancer of male genital organs,Cancer of testis
Neoplasms,Cancer of male genital organs,Cancer of other male genital organs
Neoplasms,Cancer of urinary organs,Cancer of bladder
Neoplasms,Cancer of urinary organs,Cancer of kidney and renal pelvis
Neoplasms,Cancer of urinary organs,Cancer of other urinary organs
Neoplasms,Cancer; other primary,Cancer of brain and nervous system
Neoplasms,Cancer; other primary,Cancer of thyroid
Neoplasms,Cancer of lymphatic and hematopoietic tissue,Hodgkin`s disease
Neoplasms,Cancer of lymphatic and hematopoietic tissue,Non-Hodgkin`s lymphoma
Neoplasms,Cancer of lymphatic and hematopoietic tissue,Leukemias
Neoplasms,Cancer of lymphatic and hematopoietic tissue,Multiple myeloma
Neoplasms,Cancer; other primary,Cancer; other and unspecified primary
Neoplasms,Secondary malignancies [42.],Secondary malignancies
Neoplasms,Malignant neoplasm without specification of site [43.],Malignant neoplasm without specification of site
Neoplasms,Neoplasms of unspecified nature or uncertain behavior [44.],Neoplasms of unspecified nature or uncertain behavior
Neoplasms,Maintenance chemotherapy; radiotherapy [45.],Maintenance chemotherapy; radiotherapy
Neoplasms,Benign neoplasms,Benign neoplasm of uterus
Neoplasms,Benign neoplasms,Other and unspecified benign neoplasm
Endocrine; nutritional; and metabolic diseases and immunity disorders,Thyroid disorders [48.],Thyroid disorders
Endocrine; nutritional; and metabolic diseases and immunity disorders,Diabetes mellitus without complication [49.],Diabetes mellitus without complication
Endocrine; nutritional; and metabolic diseases and immunity disorders,Diabetes mellitus with complications [50.],Diabetes mellitus with complications
Endocrine; nutritional; and metabolic diseases and immunity disorders,Other endocrine disorders [51.],Other endocrine disorders
Endocrine; nutritional; and metabolic diseases and immunity disorders,Nutritional deficiencies [52.],Nutritional deficiencies
Endocrine; nutritional; and metabolic diseases and immunity disorders,Disorders of lipid metabolism [53.],Disorders of lipid metabolism
Endocrine; nutritional; and metabolic diseases and immunity disorders,Gout and other crystal arthropathies [54.],Gout and other crystal arthropathies
Endocrine; nutritional; and metabolic diseases and immunity disorders,Fluid and electrolyte disorders [55.],Fluid and electrolyte disorders
Endocrine; nutritional; and metabolic diseases and immunity disorders,Cystic fibrosis [56.],Cystic fibrosis
Endocrine; nutritional; and metabolic diseases and immunity disorders,Immunity disorders [57.],Immunity disorders
Endocrine; nutritional; and metabolic diseases and immunity disorders,Other nutritional; endocrine; and metabolic disorders [58.],Other nutritional; endocrine; and metabolic disorders
Diseases of the blood and blood-forming organs,Anemia,Deficiency and other anemia
Diseases of the blood and blood-forming organs,Anemia,Acute posthemorrhagic anemia
