source,target
All Diagnoses,Infectious and parasitic diseases
All Diagnoses,Neoplasms
All Diagnoses,Endocrine; nutritional; and metabolic diseases and immunity disorders
All Diagnoses,Diseases of the blood and blood-forming organs
All Diagnoses,Diseases of the nervous system and sense organs
All Diagnoses,Diseases of the circulatory system
All Diagnoses,Diseases of the respiratory system
All Diagnoses,Diseases of the digestive system
All Diagnoses,Diseases of the genitourinary system
All Diagnoses,Complications of pregnancy; childbirth; and the puerperium
All Diagnoses,Diseases of the skin and subcutaneous tissue
All Diagnoses,Diseases of the musculoskeletal system and connective tissue
All Diagnoses,Congenital anomalies
All Diagnoses,Certain conditions originating in the perinatal period
All Diagnoses,Injury and poisoning
All Diagnoses,Symptoms; signs; and ill-defined conditions and factors influencing health status
All Diagnoses,Mental Illness
All Diagnoses,Unclassified
Infectious and parasitic diseases,Bacterial infection
Infectious and parasitic diseases,Mycoses [4.]
Infectious and parasitic diseases,Viral infection
Infectious and parasitic diseases,Other infections; including parasitic [8.]
Infectious and parasitic diseases,Immunizations and screening for infectious disease [10.]
Neoplasms,Cancer; other primary
Neoplasms,Other gastrointestinal cancer
Neoplasms,Colorectal cancer
Neoplasms,Cancer of bronchus; lung [19.]
Neoplasms,Cancer of skin
Neoplasms,Cancer of breast [24.]
Neoplasms,Cancer of uterus and cervix
Neoplasms,Cancer of ovary and other female genital organs
Neoplasms,Cancer of male genital organs
Neoplasms,Cancer of urinary organs
Neoplasms,Cancer of lymphatic and hematopoietic tissue
Neoplasms,Secondary malignancies [42.]
Neoplasms,Malignant neoplasm without specification of site [43.]
Neoplasms,Neoplasms of unspecified nature or uncertain behavior [44.]
Neoplasms,Maintenance chemotherapy; radiotherapy [45.]
Neoplasms,Benign neoplasms
Endocrine; nutritional; and metabolic diseases and immunity disorders,Thyroid disorders [48.]
Endocrine; nutritional; and metabolic diseases and immunity disorders,Diabetes mellitus without complication [49.]
Endocrine; nutritional; and metabolic diseases and immunity disorders,Diabetes mellitus with complications [50.]
Endocrine; nutritional; and metabolic diseases and immunity disorders,Other endocrine disorders [51.]
Endocrine; nutritional; and metabolic diseases and immunity disorders,Nutritional deficiencies [52.]
Endocrine; nutritional; and metabolic diseases and immunity disorders,Disorders of lipid metabolism [53.]
Endocrine; nutritional; and metabolic diseases and immunity disorders,Gout and other crystal arthropathies [54.]
Endocrine; nutritional; and metabolic diseases and immunity disorders,Fluid and electrolyte disorders [55.]
Endocrine; nutritional; and metabolic diseases and immunity disorders,Cystic fibrosis [56.]
